        ********************
        ****** MODEL2 ******
        ********************

TITLE= M 31        
OPTICAL FILENAME= m31.mub     
HI FILENAME= m31.hidhe   
OBSERVED VELOCITY FILE= m31.vhi     

RCORE=  48.00   SIGMA= 120.00   XML=   7.80
DIST=    0.76   ABS=     0.33   RATIO= 0.32
ECC=     0.15  HECC=     0.00
ABSOLUTE MAGNITUDE= -20.69      TOTAL DISK MASS=   0.22E+12   TOTAL HI MASS=   0.50E+10


     RADIUS   DISK MASS     DISK S.D.     HALO MASS     HALO V.D.     HALO S.D.     HI MASS       HI S.D.
     43.68    0.2195E+12    0.4503E+00    0.2056E+12    0.4134E-03    0.5572E+02    0.4995E+10    0.0000E+00
     44.16    0.2195E+12    0.4112E+00    0.2104E+12    0.4071E-03    0.5515E+02    0.4995E+10    0.0000E+00
     44.64    0.2195E+12    0.1963E+00    0.2152E+12    0.4008E-03    0.5458E+02    0.4995E+10    0.0000E+00
     45.12    0.2195E+12    0.0000E+00    0.2200E+12    0.3947E-03    0.5401E+02    0.4995E+10    0.0000E+00
     45.60    0.2195E+12    0.0000E+00    0.2249E+12    0.3886E-03    0.5344E+02    0.4995E+10    0.0000E+00


      RADIUS   HI VEL.  DISK VEL. HALO VEL. VEL.TOTAL    MASS      DARK/LUM. (M/L)dyn   (M/L)loc  log(RHIHA)

      0.00      0.00      0.00      0.00      0.00    0.0000E+00    0.00       7.80        7.80     -4.92
      0.48      0.00    150.95      2.08    150.97    0.4180E+10    0.00       7.80        7.80     -2.71
      0.96      0.00    221.61      4.15    221.65    0.1249E+11    0.00       7.80        7.80     -2.41
      1.44      0.00    247.05      6.23    247.13    0.2099E+11    0.00       7.81        7.81     -2.23
      1.92      0.00    252.37      8.30    252.51    0.2874E+11    0.00       7.81        7.83     -2.10
      2.40      0.00    253.68     10.37    253.89    0.3595E+11    0.00       7.82        7.84     -2.01
      2.88      0.00    251.94     12.44    252.25    0.4272E+11    0.00       7.82        7.87     -1.93
      3.36      0.00    251.12     14.50    251.54    0.4925E+11    0.00       7.83        7.90     -1.86
      3.84      0.00    251.10     16.56    251.64    0.5557E+11    0.00       7.84        7.93     -1.80
      4.32      0.00    251.38     18.62    252.07    0.6162E+11    0.01       7.85        7.98     -1.74
      4.80      0.00    249.93     20.67    250.78    0.6726E+11    0.01       7.87        8.04     -1.69
      5.28      0.00    244.95     22.71    246.00    0.7249E+11    0.01       7.88        8.11     -1.64
      5.76      0.00    239.08     24.75    240.36    0.7758E+11    0.01       7.90        8.18     -1.60
      6.24      0.00    235.13     26.79    236.65    0.8275E+11    0.01       7.92        8.24     -1.57
      6.72      0.00    233.87     28.81    235.64    0.8803E+11    0.01       7.94        8.30     -1.55
      7.20      0.00    233.90     30.83    235.92    0.9333E+11    0.02       7.96        8.38     -1.54
      7.68      0.00    233.46     32.85    235.76    0.9852E+11    0.02       7.99        8.48     -1.52
      8.16      0.00    231.11     34.85    233.72    0.1036E+12    0.02       8.02        8.60     -1.48
      8.64      0.00    227.77     36.84    230.73    0.1086E+12    0.03       8.04        8.70     -1.44
      9.12      0.00    226.32     38.83    229.63    0.1138E+12    0.03       8.07        8.79     -1.40
      9.60      0.00    224.66     40.80    228.34    0.1191E+12    0.03       8.11        8.90     -1.36
     10.08      0.00    224.20     42.77    228.24    0.1246E+12    0.04       8.14        8.95     -1.34
     10.56      7.61    226.30     44.72    230.80    0.1303E+12    0.04       8.18        9.05     -1.32
     11.04     12.52    228.94     46.66    233.99    0.1360E+12    0.04       8.21        9.17     -1.31
     11.52     15.90    231.21     48.59    236.79    0.1417E+12    0.05       8.25        9.32     -1.30
     12.00     18.90    232.58     50.51    238.75    0.1472E+12    0.05       8.29        9.51     -1.29
     12.48     21.80    232.98     52.42    239.80    0.1526E+12    0.06       8.33        9.70     -1.29
     12.96     24.84    232.98     54.31    240.51    0.1579E+12    0.06       8.37        9.90     -1.28
     13.44     28.34    232.81     56.20    241.17    0.1631E+12    0.06       8.42       10.11     -1.27
     13.92     31.78    232.61     58.06    241.85    0.1684E+12    0.07       8.47       10.29     -1.29
     14.40     34.65    232.57     59.92    242.65    0.1736E+12    0.07       8.51       10.46     -1.32
     14.88     36.97    233.17     61.76    244.03    0.1787E+12    0.08       8.56       10.62     -1.37
     15.36     38.36    234.25     63.59    245.74    0.1838E+12    0.09       8.61       10.84     -1.43
     15.84     38.94    235.20     65.40    247.20    0.1888E+12    0.09       8.66       11.17     -1.49
     16.32     38.91    235.40     67.20    247.87    0.1935E+12    0.10       8.71       11.59     -1.56
     16.80     38.33    234.68     68.98    247.59    0.1980E+12    0.10       8.77       12.05     -1.63
     17.28     37.47    233.44     70.75    246.79    0.2024E+12    0.11       8.82       12.48     -1.69
     17.76     36.42    232.13     72.50    245.90    0.2067E+12    0.12       8.88       12.96     -1.73
     18.24     35.53    230.89     74.23    245.12    0.2109E+12    0.12       8.94       13.51     -1.74
     18.72     34.89    229.47     75.95    244.22    0.2150E+12    0.13       9.00       14.23     -1.75
     19.20     34.54    227.81     77.66    243.14    0.2190E+12    0.14       9.07       14.96     -1.75
     19.68     34.50    226.10     79.34    242.09    0.2230E+12    0.15       9.14       15.56     -1.76
     20.16     34.59    224.46     81.02    241.13    0.2270E+12    0.16       9.21       16.40     -1.76
     20.64     34.78    222.77     82.67    240.15    0.2309E+12    0.17       9.28       17.43     -1.77
     21.12     35.12    220.99     84.31    239.12    0.2348E+12    0.17       9.35       18.20     -1.78
     21.60     35.58    219.28     85.93    238.18    0.2386E+12    0.18       9.43       19.02     -1.80
     22.08     36.03    217.73     87.53    237.41    0.2425E+12    0.19       9.51       20.08     -1.83
     22.56     36.37    216.21     89.12    236.67    0.2463E+12    0.20       9.59       21.60     -1.86
     23.04     36.55    214.57     90.69    235.80    0.2501E+12    0.21       9.68       23.19     -1.91
     23.52     36.52    212.79     92.24    234.78    0.2538E+12    0.22       9.76       24.55     -1.96
     24.00     36.33    210.98     93.78    233.72    0.2576E+12    0.24       9.85       25.95     -2.01
     24.48     36.04    209.17     95.30    232.66    0.2613E+12    0.25       9.94       27.60     -2.06
     24.96     35.72    207.35     96.80    231.61    0.2650E+12    0.26      10.03       29.44     -2.10
     25.44     35.43    205.53     98.28    230.55    0.2688E+12    0.27      10.13       31.41     -2.14
     25.92     35.16    203.75     99.75    229.56    0.2725E+12    0.28      10.23       32.81     -2.18
     26.40     34.89    202.02    101.19    228.63    0.2763E+12    0.29      10.33       35.37     -2.23
     26.88     34.58    200.30    102.62    227.70    0.2801E+12    0.31      10.43       38.03     -2.29
     27.36     34.21    198.65    104.04    226.84    0.2839E+12    0.32      10.53       38.97     -2.35
     27.84     33.80    197.13    105.43    226.10    0.2878E+12    0.33      10.64       42.07     -2.41
     28.32     33.39    195.66    106.81    225.41    0.2916E+12    0.35      10.75       45.60     -2.45
     28.80     32.98    194.19    108.17    224.72    0.2955E+12    0.36      10.86       49.55     -2.51
     29.28     32.55    192.69    109.52    224.02    0.2994E+12    0.38      10.97       53.96     -2.57
     29.76     32.12    191.18    110.85    223.31    0.3033E+12    0.39      11.09       58.90     -2.62
     30.24     31.72    189.67    112.16    222.62    0.3073E+12    0.40      11.21       63.64     -2.66
     30.72     31.35    188.16    113.45    221.94    0.3112E+12    0.42      11.33       68.02     -2.70
     31.20     31.01    186.66    114.72    221.28    0.3152E+12    0.43      11.45       72.55     -2.74
     31.68     30.70    185.17    115.98    220.64    0.3192E+12    0.45      11.57       78.87     -2.79
     32.16     30.39    183.70    117.22    220.02    0.3233E+12    0.47      11.70       86.90     -2.84
     32.64     30.09    182.24    118.45    219.42    0.3274E+12    0.48      11.83       95.95     -2.90
     33.12     29.79    180.80    119.66    218.84    0.3315E+12    0.50      11.96      103.98     -2.98
     33.60     29.46    179.37    120.85    218.28    0.3356E+12    0.52      12.09      109.67     -3.07
     34.08     29.12    177.97    122.02    217.74    0.3398E+12    0.53      12.23      119.30     -3.19
     34.56     28.76    176.59    123.18    217.22    0.3440E+12    0.55      12.36      132.62     -3.35
     35.04     28.40    175.23    124.32    216.72    0.3482E+12    0.57      12.50      147.46     -3.43
     35.52     28.06    173.88    125.45    216.24    0.3525E+12    0.58      12.64      153.64     -3.52
     36.00     27.73    172.56    126.56    215.79    0.3568E+12    0.60      12.78      166.98     -3.63
     36.48     27.40    171.27    127.65    215.36    0.3611E+12    0.62      12.93      186.94     -3.79
     36.96     27.08    169.99    128.73    214.95    0.3655E+12    0.64      13.08      203.94     -4.27
     37.44     26.75    168.73    129.80    214.55    0.3699E+12    0.66      13.22      211.89      0.00
     37.92     26.43    167.51    130.84    214.19    0.3743E+12    0.68      13.37      238.26      0.00
     38.40     26.14    166.30    131.87    213.84    0.3788E+12    0.70      13.52      268.51      0.00
     38.88     25.87    165.10    132.89    213.51    0.3833E+12    0.71      13.68      272.42      0.00
     39.36     25.61    163.94    133.89    213.22    0.3878E+12    0.73      13.83      306.35      0.00
     39.84     25.37    162.80    134.88    212.93    0.3924E+12    0.75      13.99      346.83      0.00
     40.32     25.13    161.68    135.85    212.67    0.3970E+12    0.77      14.14      349.83      0.00
     40.80     24.91    160.59    136.81    212.43    0.4016E+12    0.79      14.30      397.02      0.00
     41.28     24.70    159.51    137.75    212.20    0.4063E+12    0.81      14.46      443.12      0.00
     41.76     24.49    158.46    138.68    212.00    0.4110E+12    0.83      14.62      455.49      0.00
     42.24     24.29    157.45    139.60    211.82    0.4157E+12    0.85      14.79      519.27      0.00
     42.72     24.10    156.46    140.50    211.66    0.4205E+12    0.87      14.95      551.35      0.00
     43.20     23.92    155.51    141.38    211.53    0.4252E+12    0.90      15.12      598.31      0.00
     43.68     23.74    154.59    142.26    211.42    0.4301E+12    0.92      15.28      685.62      0.00
     44.16     23.56    153.68    143.12    211.32    0.4349E+12    0.94      15.45      689.63      0.00
     44.64     23.39    152.74    143.96    211.19    0.4397E+12    0.96      15.62        0.00      0.00
     45.12     23.23    151.78    144.79    211.05    0.4445E+12    0.98      15.80        0.00      0.00
     45.60     23.07    150.75    145.61    210.85    0.4494E+12    1.00      15.97        0.00      0.00
